Greedy-TOP B: 1e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 4.1418 | avg used budget (path only): 432156 | p_min: 11 p_avg: 87.5581 p_max: 108 | n_feasible: 0 (avg: 82% - max: 96%) | p_min_f: 220 p_avg_f: -nan p_max_f: 0 | unici: 1309 | s: 100000
psuedoKim B: 1e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 5.2356 | avg used budget (path only): 566511 | p_min: 9 p_avg: 34.8804 p_max: 72 | n_feasible: 1108 (avg: 92% - max: 100%) | p_min_f: 12 p_avg_f: 36.6886 p_max_f: 61 | unici: 3047 | s: 100000
Greedy-ab B: 1e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 4.36485 | avg used budget (path only): 436408 | p_min: 7 p_avg: 85.4205 p_max: 106 | n_feasible: 2 (avg: 82% - max: 100%) | p_min_f: 93 p_avg_f: 93 p_max_f: 93 | unici: 1571 | s: 100000
TOP-h B: 1e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 4.73982 | avg used budget (path only): 403236 | p_min: 43 p_avg: 78.9026 p_max: 102 | n_feasible: 0 (avg: 74% - max: 96%) | p_min_f: 220 p_avg_f: -nan p_max_f: 0 | unici: 756 | s: 100000
Greedy-CE B: 1e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 4.27417 | avg used budget (path only): 479625 | p_min: 5 p_avg: 64.7567 p_max: 93 | n_feasible: 7269 (avg: 95% - max: 100%) | p_min_f: 29 p_avg_f: 67.3307 p_max_f: 93 | unici: 2789 | s: 100000
Greedy-ab-0 B: 1e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 3.61888 | avg used budget (path only): 401838 | p_min: 5 p_avg: 60.6306 p_max: 93 | n_feasible: 33 (avg: 82% - max: 100%) | p_min_f: 83 p_avg_f: 86.4545 p_max_f: 93 | unici: 668 | s: 100000
Greedy-ab-0.25 B: 1e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 4.35607 | avg used budget (path only): 436919 | p_min: 7 p_avg: 83.8499 p_max: 108 | n_feasible: 3 (avg: 83% - max: 100%) | p_min_f: 93 p_avg_f: 95 p_max_f: 96 | unici: 1373 | s: 100000
Greedy-ab-0.5 B: 1e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 4.3978 | avg used budget (path only): 437617 | p_min: 9 p_avg: 87.3909 p_max: 106 | n_feasible: 1 (avg: 82% - max: 100%) | p_min_f: 100 p_avg_f: 100 p_max_f: 100 | unici: 1281 | s: 100000
Greedy-ab-0.75 B: 1e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 4.38122 | avg used budget (path only): 436837 | p_min: 9 p_avg: 87.4598 p_max: 106 | n_feasible: 0 (avg: 82% - max: 96%) | p_min_f: 220 p_avg_f: -nan p_max_f: 0 | unici: 1249 | s: 100000
Greedy-ab-1 B: 1e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 4.14002 | avg used budget (path only): 430366 | p_min: 11 p_avg: 87.7872 p_max: 108 | n_feasible: 0 (avg: 81% - max: 96%) | p_min_f: 220 p_avg_f: -nan p_max_f: 0 | unici: 1281 | s: 100000
Greedy-TOP B: 1.1e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 4.5089 | avg used budget (path only): 468815 | p_min: 11 p_avg: 86.5084 p_max: 106 | n_feasible: 7 (avg: 86% - max: 100%) | p_min_f: 88 p_avg_f: 92.2857 p_max_f: 97 | unici: 2648 | 100000
Greedy-TOP B: 1.2e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 4.82217 | avg used budget (path only): 504828 | p_min: 11 p_avg: 82.7547 p_max: 108 | n_feasible: 385 (avg: 90% - max: 100%) | p_min_f: 72 p_avg_f: 88.0987 p_max_f: 101 | unici: 4910 | 100000
Greedy-TOP B: 1.3e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 5.09572 | avg used budget (path only): 540045 | p_min: 11 p_avg: 77.9991 p_max: 101 | n_feasible: 2263 (avg: 93% - max: 100%) | p_min_f: 61 p_avg_f: 81.6611 p_max_f: 98 | unici: 8016 | 100000
Greedy-TOP B: 1.4e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 5.32495 | avg used budget (path only): 569197 | p_min: 11 p_avg: 72.9306 p_max: 101 | n_feasible: 4877 (avg: 95% - max: 100%) | p_min_f: 47 p_avg_f: 75.1681 p_max_f: 96 | unici: 11459 | 100000
Greedy-TOP B: 1.5e+06 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 5.47692 | avg used budget (path only): 590196 | p_min: 11 p_avg: 68.9761 p_max: 101 | n_feasible: 6765 (avg: 96% - max: 100%) | p_min_f: 39 p_avg_f: 70.2866 p_max_f: 96 | unici: 14525 | 100000
psuedoKim B: 900000 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 5.04842 | avg used budget (path only): 537377 | p_min: 21 p_avg: 46.1948 p_max: 72 | n_feasible: 949 (avg: 90% - max: 100%) | p_min_f: 26 p_avg_f: 51.9347 p_max_f: 71 | unici: 2681 | s: 100000
psuedoKim B: 800000 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 4.8524 | avg used budget (path only): 512789 | p_min: 31 p_avg: 57.117 p_max: 81 | n_feasible: 252 (avg: 87% - max: 100%) | p_min_f: 44 p_avg_f: 62.3849 p_max_f: 77 | unici: 2391 | s: 100000
psuedoKim B: 700000 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 4.43942 | avg used budget (path only): 465703 | p_min: 28 p_avg: 63.983 p_max: 90 | n_feasible: 0 (avg: 80% - max: 96%) | p_min_f: 220 p_avg_f: -nan p_max_f: 0 | unici: 1979 | s: 100000
psuedoKim B: 600000 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 3.7939 | avg used budget (path only): 404014 | p_min: 17 p_avg: 62.9231 p_max: 93 | n_feasible: 0 (avg: 70% - max: 91%) | p_min_f: 220 p_avg_f: -nan p_max_f: 0 | unici: 1076 | s: 100000
psuedoKim B: 500000 #iterazioni: 10000 | #cicli: 40000 | avg #nodes in path: 2.96267 | avg used budget (path only): 326265 | p_min: 9 p_avg: 46.7916 p_max: 85 | n_feasible: 0 (avg: 51% - max: 86%) | p_min_f: 220 p_avg_f: -nan p_max_f: 0 | unici: 358 | s: 100000
